Disease,Symptoms
Vitiligo,Loss of pigmentation;Lightened skin;White patches
Vitiligo,Loss of pigmentation;Irregular skin color;White patches
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Skin Cancer,Irregular borders;Asymmetrical growth;Changes in existing moles
Lichen Planus,Inflammation;Purple flat-topped bumps;White lines
Rosacea,Eye irritation;Redness
Eczema,Dry patches;Cracked skin;Redness;Itchy skin
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Tinea,"Burning sensation;Red, ring-shaped rash;Itchy rash;Peeling skin"
Moles,Dark spots;Itchy moles
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Vitiligo,Loss of pigmentation;Lightened skin;White patches
Vasculitis,Fever;Red or purple patches;Swollen blood vessels;Skin sores;Rash
Moles,Itchy moles;Multicolored moles;Irregular border;Raised moles;Dark spots
Actinic Keratosis,"Crusting;Dry, scaly patches"
Vitiligo,White patches;Loss of pigmentation
Infestations/Bites,Visible bites;Wheals;Itchy rash
Lupus,Mouth sores;Scaly skin;Sensitivity to sunlight
Vitiligo,Loss of pigmentation;White patches
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Eczema,Redness;Itchy skin;Swollen skin
Rosacea,Visible blood vessels;Eye irritation;Pimple-like bumps;Redness
Skin Cancer,Asymmetrical growth;Irregular borders;Bleeding lesions;Changes in existing moles;New growths
Eczema,Redness;Cracked skin
Psoriasis,Dry cracked skin;Red skin
Skin Cancer,Asymmetrical growth;Irregular borders;Bleeding lesions;Changes in existing moles
Vitiligo,Loss of pigmentation;Irregular skin color;White patches
Rosacea,Pimple-like bumps;Visible blood vessels;Eye irritation
Unknown/Normal Variants,Minor blemishes;No symptoms
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Sun/Sunlight Damage,Dark spots;Sunburn;Wrinkles;Freckles
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Vasculitis,Fever;Swollen blood vessels;Red or purple patches
Psoriasis,Itchy patches;Dry cracked skin
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Acne,Blackheads;Inflamed skin;Oily skin
Actinic Keratosis,"Dry, scaly patches;Sun damage;Itchy spots"
Acne,Blackheads;Inflamed skin;Oily skin;Pimples
Psoriasis,Scaly skin;Thickened nails
Infestations/Bites,Swollen red spots;Itchy rash
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Vasculitis,Red or purple patches;Rash;Fever;Skin sores;Swollen blood vessels
Sun/Sunlight Damage,Dark spots;Wrinkles
Infestations/Bites,Itchy rash;Visible bites;Wheals
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Infestations/Bites,Lice;Visible bites
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Sun/Sunlight Damage,Wrinkles;Dark spots;Rough patches;Freckles;Sunburn
Vasculitis,Fever;Rash;Swollen blood vessels
Actinic Keratosis,Crusting;Sun damage
Candidiasis,"White patches;Red, sore skin;Swollen skin;Itchy rash;Flaky skin"
Infestations/Bites,Itchy rash;Visible bites
Candidiasis,"Flaky skin;Itchy rash;Red, sore skin"
Vasculitis,Rash;Red or purple patches;Fever;Skin sores;Swollen blood vessels
Vasculitis,Skin sores;Fever;Swollen blood vessels
Rosacea,Redness;Eye irritation;Pimple-like bumps
Unknown/Normal Variants,Minor blemishes;No symptoms
Drug Eruption,Rash;Red spots;Swelling;Hives;Fever
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Acne,Whiteheads;Cystic acne;Oily skin;Pimples
Benign Tumors,Flesh-colored bumps;Soft lumps
Candidiasis,"Red, sore skin;White patches"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Lupus,Mouth sores;Sensitivity to sunlight
Eczema,Redness;Cracked skin;Blisters;Itchy skin
Actinic Keratosis,"Dry, scaly patches;Red or brown spots"
Benign Tumors,Soft lumps;Flesh-colored bumps
Acne,Pimples;Blackheads;Inflamed skin
Tinea,"Red, ring-shaped rash;Peeling skin;Blisters;Burning sensation;Itchy rash"
Psoriasis,Red skin;Thickened nails;Dry cracked skin;Itchy patches
Psoriasis,Dry cracked skin;Scaly skin;Itchy patches;Red skin
Rosacea,Visible blood vessels;Pimple-like bumps;Redness;Eye irritation
Actinic Keratosis,"Sun damage;Red or brown spots;Dry, scaly patches"
Lupus,Scaly skin;Sensitivity to sunlight;Mouth sores
Vitiligo,White patches;Lightened skin
Lichen Planus,White lines;Inflammation;Purple flat-topped bumps
Vascular Tumors,Visible blood vessels;Swelling
Vascular Tumors,Red or purple spots;Visible blood vessels
Candidiasis,Flaky skin;Swollen skin
Bullous Disorders,Painful blisters;Itchy blisters
Lupus,Scaly skin;Sensitivity to sunlight
Vascular Tumors,Swelling;Red or purple spots;Painful nodules;Visible blood vessels
Lichen Planus,Inflammation;Purple flat-topped bumps;Itchy lesions;White lines
Candidiasis,"White patches;Red, sore skin"
Vascular Tumors,Visible blood vessels;Red or purple spots
Skin Cancer,Changes in existing moles;Irregular borders;Bleeding lesions
Eczema,Redness;Itchy skin
Infestations/Bites,Swollen red spots;Itchy rash;Lice;Visible bites
Drug Eruption,Red spots;Fever
Infestations/Bites,Swollen red spots;Itchy rash
Infestations/Bites,Swollen red spots;Itchy rash;Visible bites;Wheals
Sun/Sunlight Damage,Rough patches;Dark spots;Freckles;Wrinkles
Skin Cancer,Bleeding lesions;New growths;Irregular borders;Asymmetrical growth
Acne,Cystic acne;Pimples
Sun/Sunlight Damage,Wrinkles;Rough patches
Sun/Sunlight Damage,Wrinkles;Rough patches;Sunburn;Freckles
Unknown/Normal Variants,No symptoms;Minor blemishes
Vasculitis,Skin sores;Swollen blood vessels
Rosacea,Redness;Eye irritation;Pimple-like bumps;Visible blood vessels
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Candidiasis,"Red, sore skin;Itchy rash"
Vascular Tumors,Visible blood vessels;Red or purple spots;Painful nodules;Swelling
Skin Cancer,Irregular borders;New growths;Bleeding lesions
Sun/Sunlight Damage,Sunburn;Rough patches;Dark spots;Freckles;Wrinkles
Warts,Bumps on skin;Hard lumps;Rough texture
Lichen Planus,Inflammation;Purple flat-topped bumps;White lines;Itchy lesions
Rosacea,Eye irritation;Visible blood vessels;Pimple-like bumps
Warts,Bumps on skin;Hard lumps
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Sun/Sunlight Damage,Wrinkles;Rough patches;Dark spots;Freckles
Sun/Sunlight Damage,Freckles;Sunburn;Rough patches;Wrinkles
Warts,Rough texture;Raised growths
Warts,Itchy warts;Hard lumps;Bumps on skin;Rough texture
Lichen Planus,Itchy lesions;Purple flat-topped bumps;White lines
Eczema,Swollen skin;Cracked skin;Dry patches;Itchy skin;Blisters
Skin Cancer,Irregular borders;New growths;Asymmetrical growth;Bleeding lesions
Vasculitis,Rash;Fever;Red or purple patches
Moles,Raised moles;Irregular border;Multicolored moles;Dark spots
Drug Eruption,Swelling;Red spots;Rash;Itching
Acne,Cystic acne;Oily skin;Pimples
Vitiligo,Irregular skin color;Loss of pigmentation
Psoriasis,Scaly skin;Dry cracked skin
Vascular Tumors,Visible blood vessels;Swelling;Red or purple spots
Skin Cancer,Changes in existing moles;Irregular borders;Asymmetrical growth;New growths
Tinea,"Itchy rash;Peeling skin;Burning sensation;Red, ring-shaped rash"
Acne,Blackheads;Oily skin;Cystic acne
Lichen Planus,Itchy lesions;Inflammation;White lines;Purple flat-topped bumps
Acne,Oily skin;Pimples
Vasculitis,Rash;Fever;Skin sores;Red or purple patches
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Lichen Planus,Itchy lesions;Inflammation;Purple flat-topped bumps;White lines
Rosacea,Visible blood vessels;Pimple-like bumps
Lupus,Mouth sores;Red patches;Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash
Skin Cancer,Changes in existing moles;New growths;Bleeding lesions;Asymmetrical growth
Infestations/Bites,Itchy rash;Wheals
Eczema,Redness;Swollen skin;Cracked skin;Itchy skin
Sun/Sunlight Damage,Rough patches;Sunburn;Freckles;Wrinkles;Dark spots
Warts,Rough texture;Bumps on skin;Raised growths
Rosacea,Redness;Pimple-like bumps;Eye irritation;Visible blood vessels
Acne,Inflamed skin;Cystic acne
Lupus,Red patches;Butterfly-shaped rash;Scaly skin;Sensitivity to sunlight
Unknown/Normal Variants,No symptoms;Minor blemishes
Moles,Itchy moles;Multicolored moles;Raised moles;Irregular border
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Infestations/Bites,Wheals;Itchy rash;Lice;Visible bites
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Burning sensation
Skin Cancer,Changes in existing moles;Bleeding lesions
Lupus,Butterfly-shaped rash;Mouth sores;Red patches
Moles,Dark spots;Raised moles
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Vascular Tumors,Painful nodules;Swelling
Rosacea,Burning sensation;Redness
Lichen Planus,Inflammation;Itchy lesions;Purple flat-topped bumps
Rosacea,Redness;Eye irritation
Drug Eruption,Red spots;Swelling;Hives
Benign Tumors,Flesh-colored bumps;Non-cancerous growths
Vitiligo,Irregular skin color;Lightened skin
Psoriasis,Scaly skin;Itchy patches;Thickened nails
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Eczema,Swollen skin;Blisters;Itchy skin
Moles,Itchy moles;Irregular border;Dark spots;Multicolored moles;Raised moles
Skin Cancer,Asymmetrical growth;Irregular borders;New growths
Rosacea,Visible blood vessels;Eye irritation;Pimple-like bumps;Redness
Rosacea,Visible blood vessels;Redness;Pimple-like bumps
Vasculitis,Rash;Swollen blood vessels;Fever
Drug Eruption,Rash;Fever
Drug Eruption,Rash;Fever;Hives;Itching;Red spots
Vasculitis,Rash;Red or purple patches;Swollen blood vessels;Fever
Rosacea,Eye irritation;Visible blood vessels
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Tinea,Itchy rash;Blisters
Actinic Keratosis,"Red or brown spots;Sun damage;Crusting;Dry, scaly patches"
Eczema,Itchy skin;Redness;Swollen skin
Warts,Rough texture;Bumps on skin;Raised growths
Acne,Cystic acne;Whiteheads;Blackheads;Pimples
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin;Itchy rash;White patches"
Lupus,Butterfly-shaped rash;Mouth sores;Red patches;Sensitivity to sunlight
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Sun/Sunlight Damage,Dark spots;Sunburn;Rough patches;Wrinkles;Freckles
Warts,Itchy warts;Hard lumps;Bumps on skin;Raised growths
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Psoriasis,Thickened nails;Itchy patches;Red skin
Vitiligo,Lightened skin;Irregular skin color;Loss of pigmentation
Drug Eruption,Rash;Itching;Hives;Red spots
Eczema,Itchy skin;Dry patches;Blisters;Swollen skin
Lichen Planus,Itchy lesions;White lines;Purple flat-topped bumps
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Unknown/Normal Variants,No symptoms;Minor blemishes
Actinic Keratosis,"Sun damage;Itchy spots;Crusting;Red or brown spots;Dry, scaly patches"
Acne,Blackheads;Whiteheads
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Acne,Blackheads;Whiteheads;Inflamed skin;Oily skin
Eczema,Cracked skin;Redness;Dry patches
Vasculitis,Fever;Rash
Sun/Sunlight Damage,Dark spots;Rough patches;Sunburn
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Moles,Raised moles;Itchy moles;Irregular border;Dark spots
Vascular Tumors,Painful nodules;Red or purple spots;Visible blood vessels;Swelling
Vasculitis,Fever;Red or purple patches;Skin sores;Rash
Actinic Keratosis,Crusting;Red or brown spots
Sun/Sunlight Damage,Freckles;Dark spots;Sunburn
Rosacea,Redness;Eye irritation;Visible blood vessels;Burning sensation;Pimple-like bumps
Drug Eruption,Red spots;Swelling;Itching;Fever
Lupus,Mouth sores;Red patches
Actinic Keratosis,"Red or brown spots;Sun damage;Dry, scaly patches;Crusting"
Infestations/Bites,Visible bites;Swollen red spots;Wheals;Itchy rash
Rosacea,Pimple-like bumps;Redness
Skin Cancer,Asymmetrical growth;Bleeding lesions;Changes in existing moles
Bullous Disorders,Painful blisters;Itchy blisters
Vascular Tumors,Red or purple spots;Painful nodules
Rosacea,Visible blood vessels;Eye irritation;Redness;Pimple-like bumps
Lupus,Scaly skin;Mouth sores;Red patches
Eczema,Swollen skin;Blisters;Cracked skin;Redness
Skin Cancer,Changes in existing moles;Irregular borders
Infestations/Bites,Itchy rash;Visible bites
Skin Cancer,Asymmetrical growth;New growths
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Lichen Planus,Itchy lesions;Inflammation
Infestations/Bites,Wheals;Visible bites;Itchy rash;Lice;Swollen red spots
Vitiligo,Irregular skin color;Lightened skin;White patches
Bullous Disorders,Itchy blisters;Painful blisters
Vasculitis,Skin sores;Rash
Skin Cancer,Bleeding lesions;Changes in existing moles
Lichen Planus,Inflammation;Purple flat-topped bumps;Itchy lesions
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Eczema,Cracked skin;Blisters
Sun/Sunlight Damage,Sunburn;Rough patches;Wrinkles
Infestations/Bites,Lice;Itchy rash;Swollen red spots;Visible bites;Wheals
Infestations/Bites,Visible bites;Wheals;Lice
Moles,Dark spots;Raised moles;Multicolored moles
Rosacea,Burning sensation;Redness;Pimple-like bumps
Rosacea,Visible blood vessels;Burning sensation
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions
Drug Eruption,Red spots;Hives;Fever;Swelling;Rash
Drug Eruption,Itching;Rash;Hives
Vasculitis,Rash;Skin sores;Red or purple patches;Swollen blood vessels;Fever
Vitiligo,White patches;Loss of pigmentation
Acne,Oily skin;Pimples;Blackheads
Infestations/Bites,Lice;Wheals
Skin Cancer,Asymmetrical growth;New growths
Candidiasis,Swollen skin;Flaky skin;White patches
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Drug Eruption,Swelling;Fever
Skin Cancer,Irregular borders;Changes in existing moles;Bleeding lesions;New growths
Tinea,"Red, ring-shaped rash;Itchy rash;Peeling skin;Burning sensation"
Tinea,"Peeling skin;Blisters;Red, ring-shaped rash"
Vasculitis,Swollen blood vessels;Skin sores;Rash
Tinea,"Itchy rash;Blisters;Red, ring-shaped rash;Burning sensation;Peeling skin"
Lupus,Red patches;Sensitivity to sunlight
Rosacea,Eye irritation;Visible blood vessels
Candidiasis,"White patches;Red, sore skin;Flaky skin;Itchy rash;Swollen skin"
Warts,Bumps on skin;Itchy warts;Hard lumps;Rough texture;Raised growths
Skin Cancer,Asymmetrical growth;New growths
Warts,Rough texture;Raised growths;Itchy warts;Hard lumps
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Candidiasis,"Red, sore skin;White patches;Itchy rash;Flaky skin;Swollen skin"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Sun/Sunlight Damage,Rough patches;Dark spots;Freckles;Sunburn
Lupus,Sensitivity to sunlight;Scaly skin;Mouth sores;Butterfly-shaped rash;Red patches
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles
Rosacea,Redness;Eye irritation;Visible blood vessels;Pimple-like bumps;Burning sensation
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Rosacea,Redness;Burning sensation;Pimple-like bumps;Visible blood vessels;Eye irritation
Candidiasis,White patches;Swollen skin
Warts,Itchy warts;Hard lumps;Bumps on skin;Rough texture
Warts,Itchy warts;Rough texture;Hard lumps;Bumps on skin
Skin Cancer,Bleeding lesions;Asymmetrical growth
Drug Eruption,Itching;Red spots;Swelling;Fever;Rash
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Sun/Sunlight Damage,Rough patches;Wrinkles;Sunburn;Freckles
Rosacea,Pimple-like bumps;Redness
Lichen Planus,Purple flat-topped bumps;Itchy lesions;White lines
Psoriasis,Thickened nails;Dry cracked skin
Moles,Dark spots;Raised moles;Irregular border;Itchy moles
Benign Tumors,Flesh-colored bumps;Soft lumps
Vascular Tumors,Swelling;Red or purple spots
Skin Cancer,Bleeding lesions;New growths;Changes in existing moles
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles;Rough patches;Freckles
Candidiasis,"White patches;Red, sore skin;Flaky skin;Swollen skin"
Skin Cancer,Bleeding lesions;Asymmetrical growth;Irregular borders
Skin Cancer,Bleeding lesions;Asymmetrical growth;Irregular borders;New growths;Changes in existing moles
Vitiligo,White patches;Irregular skin color;Loss of pigmentation
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Tinea,"Peeling skin;Red, ring-shaped rash;Burning sensation;Blisters"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Infestations/Bites,Visible bites;Wheals
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Candidiasis,"White patches;Red, sore skin;Swollen skin;Flaky skin"
Drug Eruption,Swelling;Fever;Hives
Warts,Bumps on skin;Rough texture
Infestations/Bites,Visible bites;Lice
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Vasculitis,Red or purple patches;Fever;Rash
Sun/Sunlight Damage,Freckles;Dark spots;Sunburn;Rough patches
Psoriasis,Red skin;Dry cracked skin;Thickened nails;Scaly skin
Acne,Whiteheads;Oily skin;Pimples
Eczema,Redness;Swollen skin;Itchy skin
Warts,Bumps on skin;Rough texture;Hard lumps;Itchy warts
Tinea,"Peeling skin;Burning sensation;Blisters;Red, ring-shaped rash;Itchy rash"
Sun/Sunlight Damage,Dark spots;Sunburn;Wrinkles
Eczema,Dry patches;Swollen skin;Cracked skin;Itchy skin;Blisters
Lupus,Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash;Red patches;Mouth sores
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Skin Cancer,Changes in existing moles;New growths
Moles,Irregular border;Multicolored moles;Dark spots
Tinea,Blisters;Peeling skin
Sun/Sunlight Damage,Sunburn;Wrinkles;Dark spots;Freckles;Rough patches
Lichen Planus,Itchy lesions;White lines;Inflammation;Purple flat-topped bumps
Skin Cancer,Irregular borders;Bleeding lesions;New growths
Lichen Planus,White lines;Purple flat-topped bumps;Inflammation;Itchy lesions
Vasculitis,Rash;Red or purple patches;Swollen blood vessels
Acne,Blackheads;Oily skin;Pimples;Inflamed skin;Cystic acne
Vascular Tumors,Painful nodules;Swelling
Sun/Sunlight Damage,Freckles;Sunburn;Dark spots
Warts,Rough texture;Itchy warts;Raised growths;Bumps on skin;Hard lumps
Moles,Multicolored moles;Irregular border;Itchy moles;Dark spots;Raised moles
Sun/Sunlight Damage,Rough patches;Wrinkles
Candidiasis,Swollen skin;Flaky skin;Itchy rash
Candidiasis,Flaky skin;White patches;Swollen skin
Vasculitis,Swollen blood vessels;Rash;Skin sores;Red or purple patches
Unknown/Normal Variants,Minor blemishes;No symptoms
Eczema,Swollen skin;Redness;Blisters;Itchy skin;Cracked skin
Warts,Rough texture;Hard lumps;Raised growths;Bumps on skin
Psoriasis,Thickened nails;Red skin;Dry cracked skin;Scaly skin;Itchy patches
Lichen Planus,White lines;Purple flat-topped bumps
Skin Cancer,Bleeding lesions;Changes in existing moles;Irregular borders;New growths;Asymmetrical growth
Drug Eruption,Itching;Rash
Rosacea,Eye irritation;Visible blood vessels
Acne,Pimples;Whiteheads;Blackheads;Inflamed skin
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Rosacea,Burning sensation;Redness
Rosacea,Burning sensation;Visible blood vessels
Rosacea,Pimple-like bumps;Eye irritation;Burning sensation;Redness
Skin Cancer,New growths;Irregular borders;Asymmetrical growth;Bleeding lesions
Psoriasis,Red skin;Thickened nails
Vascular Tumors,Painful nodules;Swelling;Visible blood vessels
Warts,Itchy warts;Raised growths;Hard lumps
Candidiasis,"Flaky skin;Swollen skin;Red, sore skin;Itchy rash"
Acne,Cystic acne;Pimples;Blackheads;Oily skin
Candidiasis,"Swollen skin;Red, sore skin"
Infestations/Bites,Swollen red spots;Wheals;Itchy rash;Lice;Visible bites
Infestations/Bites,Wheals;Lice;Visible bites
Vascular Tumors,Painful nodules;Swelling
Warts,Raised growths;Bumps on skin;Itchy warts
Psoriasis,Itchy patches;Scaly skin;Dry cracked skin
Lichen Planus,White lines;Purple flat-topped bumps
Tinea,Burning sensation;Blisters
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin"
Moles,Raised moles;Itchy moles;Dark spots;Multicolored moles;Irregular border
Benign Tumors,Soft lumps;Flesh-colored bumps
Vitiligo,Lightened skin;Loss of pigmentation;Irregular skin color
Lichen Planus,Inflammation;Purple flat-topped bumps
Candidiasis,Itchy rash;White patches
Tinea,"Red, ring-shaped rash;Burning sensation;Peeling skin;Blisters;Itchy rash"
Drug Eruption,Rash;Fever;Red spots
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Warts,Hard lumps;Bumps on skin;Raised growths
Acne,Cystic acne;Inflamed skin;Blackheads;Whiteheads;Pimples
Infestations/Bites,Lice;Swollen red spots
Vitiligo,Loss of pigmentation;Lightened skin;Irregular skin color;White patches
Vascular Tumors,Swelling;Red or purple spots
Rosacea,Eye irritation;Visible blood vessels;Burning sensation
Lupus,Mouth sores;Scaly skin
Moles,Multicolored moles;Raised moles;Irregular border;Dark spots
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Moles,Itchy moles;Dark spots;Raised moles;Multicolored moles
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Warts,Hard lumps;Raised growths;Rough texture;Bumps on skin;Itchy warts
Benign Tumors,Non-cancerous growths;Soft lumps
Psoriasis,Thickened nails;Red skin;Dry cracked skin
Lichen Planus,White lines;Itchy lesions;Inflammation;Purple flat-topped bumps
Tinea,Itchy rash;Blisters
Eczema,Blisters;Itchy skin
Infestations/Bites,Visible bites;Itchy rash;Lice;Wheals;Swollen red spots
Vitiligo,White patches;Lightened skin;Irregular skin color
Tinea,Peeling skin;Burning sensation;Itchy rash
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Vitiligo,White patches;Irregular skin color;Lightened skin;Loss of pigmentation
Candidiasis,Flaky skin;Swollen skin;White patches
Skin Cancer,Changes in existing moles;New growths
Eczema,Cracked skin;Dry patches
Acne,Oily skin;Blackheads;Whiteheads;Inflamed skin;Cystic acne
Vasculitis,Rash;Skin sores;Swollen blood vessels;Red or purple patches;Fever
Eczema,Itchy skin;Blisters;Cracked skin;Swollen skin;Redness
Warts,Hard lumps;Rough texture
Eczema,Cracked skin;Redness;Swollen skin;Blisters
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Vitiligo,Irregular skin color;Lightened skin
Unknown/Normal Variants,No symptoms;Minor blemishes
Tinea,"Red, ring-shaped rash;Itchy rash;Blisters;Burning sensation"
Lupus,Red patches;Mouth sores;Butterfly-shaped rash
Drug Eruption,Rash;Itching;Hives;Red spots
Sun/Sunlight Damage,Dark spots;Sunburn;Rough patches;Freckles;Wrinkles
Candidiasis,Flaky skin;White patches;Swollen skin
Unknown/Normal Variants,Minor blemishes;No symptoms
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Eczema,Blisters;Swollen skin
Vasculitis,Swollen blood vessels;Skin sores;Red or purple patches
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Vascular Tumors,Visible blood vessels;Painful nodules
Vitiligo,White patches;Irregular skin color;Loss of pigmentation
Sun/Sunlight Damage,Dark spots;Rough patches
Vasculitis,Swollen blood vessels;Rash
Infestations/Bites,Visible bites;Itchy rash;Swollen red spots;Lice;Wheals
Vasculitis,Rash;Swollen blood vessels;Fever;Skin sores;Red or purple patches
Lichen Planus,Purple flat-topped bumps;Inflammation;Itchy lesions
Candidiasis,"Flaky skin;Itchy rash;Red, sore skin"
Infestations/Bites,Wheals;Visible bites;Swollen red spots;Lice
Lichen Planus,White lines;Itchy lesions
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Rosacea,Redness;Burning sensation;Visible blood vessels;Eye irritation
Vascular Tumors,Swelling;Red or purple spots
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Psoriasis,Dry cracked skin;Red skin
Warts,Raised growths;Itchy warts;Rough texture
Lupus,Butterfly-shaped rash;Red patches;Sensitivity to sunlight;Mouth sores
Drug Eruption,Itching;Fever;Hives
Vitiligo,White patches;Irregular skin color;Loss of pigmentation;Lightened skin
Rosacea,Visible blood vessels;Pimple-like bumps;Eye irritation;Redness
Vascular Tumors,Swelling;Painful nodules;Red or purple spots;Visible blood vessels
Vascular Tumors,Red or purple spots;Visible blood vessels;Swelling;Painful nodules
Tinea,"Red, ring-shaped rash;Peeling skin;Burning sensation;Blisters;Itchy rash"
Warts,Bumps on skin;Hard lumps;Rough texture
Skin Cancer,Irregular borders;New growths;Changes in existing moles;Bleeding lesions
Eczema,Dry patches;Redness;Blisters
Acne,Cystic acne;Whiteheads
Eczema,Blisters;Swollen skin
Candidiasis,Flaky skin;Swollen skin;White patches
Eczema,Cracked skin;Itchy skin
Vitiligo,Loss of pigmentation;White patches;Lightened skin
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Rosacea,Pimple-like bumps;Visible blood vessels;Redness
Warts,Raised growths;Itchy warts;Rough texture
Psoriasis,Dry cracked skin;Red skin;Scaly skin;Thickened nails;Itchy patches
Tinea,Burning sensation;Blisters;Peeling skin
Candidiasis,"Flaky skin;Red, sore skin;Itchy rash;Swollen skin"
Vasculitis,Skin sores;Swollen blood vessels;Rash;Red or purple patches;Fever
Eczema,Swollen skin;Cracked skin;Itchy skin;Blisters
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Skin Cancer,Changes in existing moles;Irregular borders;New growths;Asymmetrical growth
Vitiligo,Irregular skin color;Loss of pigmentation;White patches
Eczema,Redness;Dry patches;Itchy skin;Cracked skin
Skin Cancer,Asymmetrical growth;Changes in existing moles;New growths;Irregular borders
Sun/Sunlight Damage,Rough patches;Dark spots
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels;Painful nodules
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Rosacea,Eye irritation;Visible blood vessels;Burning sensation
Actinic Keratosis,"Dry, scaly patches;Itchy spots;Red or brown spots;Sun damage"
Candidiasis,"Itchy rash;Red, sore skin;Swollen skin;Flaky skin;White patches"
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth
Acne,Inflamed skin;Oily skin;Cystic acne;Pimples
Acne,Oily skin;Blackheads;Whiteheads;Pimples
Sun/Sunlight Damage,Rough patches;Wrinkles
Acne,Inflamed skin;Pimples;Blackheads
Infestations/Bites,Swollen red spots;Lice;Wheals;Visible bites;Itchy rash
Actinic Keratosis,"Dry, scaly patches;Crusting;Sun damage"
